date,price,product,store_name
10/01/2021,"215,00","BELUGA TRANSATLANTIC RACING 0,7L + SZKLANKA",Propaganda24
10/01/2021,"185,00","BELUGA TRANSATLANTIC RACING RUSSIAN VODKA 0,7L",Propaganda24
10/01/2021,"550,00","BELVEDERE MIDNIGHT SABRE 1,75L PODŚWIETLANA BUTELKA",Propaganda24
10/01/2021,"139,00","BELVEDERE POLISH VODKA 0,7L ",Propaganda24
10/01/2021,"630,00","BELVEDERE SILVER SABRE VODKA 1,75L PODŚWIETLANA BUTELKA",Propaganda24
10/01/2021,"179,00","BELVEDERE SINGLE ESTATE RYE LAKE BARTĘŻEK 0,7L",Propaganda24
10/01/2021,"179,00","BELVEDERE SINGLE ESTATE RYE SMOGÓRY FOREST 0,7L",Propaganda24
10/01/2021,"99,00","BELVEDERE VODKA 0,5L POLSKA",Propaganda24
10/01/2021,"389,00","BELVEDERE VODKA 1,75L PODŚWIETLANA BUTELKA",Propaganda24
10/01/2021,"189,00","BELVEDERE VODKA 40% 0,7L + KIELISZEK - SPRITZ GLASS PACK",Propaganda24
10/01/2021,"1000,00",BELVEDERE VODKA GUN METAL ILUMINATION 3L,Propaganda24
10/01/2021,"179,00","BIMBER  VODKA 0,7L + 2 KIELISZKI",Propaganda24
10/01/2021,"179,00","BLACK COW PURE MILK VODKA THE GOLD TOP 0,7L",Propaganda24
10/01/2021,"235,00","BLACK MOTH TRUFFLE VODKA 0,7L",Propaganda24
10/01/2021,"79,00",BLAVOD PURE BLACK VODKA 1L,Propaganda24
10/01/2021,"98,00","CACHACA MANGAROCA 0,7L",Propaganda24
10/01/2021,"65,00","CAMITZ WÓDKA GAZOWANA 0,2L",Propaganda24
10/01/2021,"179,00","CHOPIN BLENDED GOLD VODKA [POTATO & WHEAT) 0,7L",Propaganda24
10/01/2021,"165,00","CHOPIN BLENDED VODKA COPPER LIMITED EDITION 0,7L",Propaganda24
10/01/2021,"165,00","CHOPIN BLENDED VODKA SILVER LIMITED EDITION 0,7L",Propaganda24
10/01/2021,"53,00","CHOPIN POTATO VODKA 0,2L + KARTONIK",Propaganda24
10/01/2021,"155,00","CHOPIN POTATO VODKA 0,7L + TUBA",Propaganda24
10/01/2021,"1090,00",CHOPIN POTATO VODKA 6L + POMPKA + KARTON,Propaganda24
10/01/2021,"199,90","CHOPIN POTATO VODKA SPECIAL EDITION 1,0L - RÓŻOWA WSTĄŻKA",Propaganda24
10/01/2021,"37,00","CHOPIN RYE VODKA 0,2L + KARTONIK",Propaganda24
10/01/2021,"385,00","CHOPIN RYE VODKA 0,7L + 2 MINIATURKI 0,05L + SKRZYNIA",Propaganda24
10/01/2021,"75,00","CHOPIN RYE VODKA 0,7L + KARTON",Propaganda24
10/01/2021,"95,00","CHOPIN RYE VODKA 0,7L + TUBA",Propaganda24
10/01/2021,"359,00","CHOPIN RYE VODKA 3,0L + POMPKA + KARTON",Propaganda24
10/01/2021,"869,00","CHOPIN RYE VODKA 6,0L + POMPKA + KARTON",Propaganda24
10/01/2021,"199,00","CHOPIN VINTAGE 2014 0,5L + OPAKOWANIE",Propaganda24
10/01/2021,"149,90","CHOPIN WHEAT VODKA 0,7L + TUBA",Propaganda24
10/01/2021,"129,90","CIROC VODKA 0,7L (FRANCUSKA WÓDKA Z WINOGRON)                                                                                    ",Propaganda24
10/01/2021,"449,00","CIROC VODKA 1,75L (FRANCUSKA WÓDKA Z WINOGRON)",Propaganda24
10/01/2021,"699,00","CIROC VODKA 3,0L (FRANCUSKA WÓDKA Z WINOGRON)",Propaganda24
10/01/2021,"465,00","CRYSTAL HEAD VODKA 0,7L THE ROLLING STONES 50TH",Propaganda24
10/01/2021,"595,00","CRYSTAL HEAD VODKA 1,75L + KARTONIK ",Propaganda24
10/01/2021,"1290,00","CRYSTAL HEAD VODKA 3,0L + KARTON",Propaganda24
10/01/2021,"315,00","CRYSTAL HEAD VODKA AURORA 0,7L + KARTONIK",Propaganda24
10/01/2021,"47,00","CYSTO KURNWICA GÓRALSKA WÓDKA 0,5L",Propaganda24
10/01/2021,"57,00","CZORNO KURNWICA WÓDKA 0,5L",Propaganda24
10/01/2021,"229,00","DĘBOWA POLSKA BECZKA 1,0L",Propaganda24
10/01/2021,"159,00","DĘBOWA POLSKA BECZKA TERMO 0,7L",Propaganda24
10/01/2021,"151,00","DĘBOWA POLSKA BUKŁAK 0,7L + KARTONIK",Propaganda24
10/01/2021,"48,00","DĘBOWA POLSKA CHOINKA Z DREWNA 0,1L",Propaganda24
10/01/2021,"159,00","DĘBOWA POLSKA HUŚTAWKA 0,7L + KARTON",Propaganda24
10/01/2021,"45,99","DĘBOWA POLSKA OAK  VODKA 0,5L",Propaganda24
10/01/2021,"97,00","DĘBOWA POLSKA OAK VODKA Z UCHEM 0,7L",Propaganda24
10/01/2021,"229,90","DQ IMPORTED VODKA 1,0L ",Propaganda24
10/01/2021,"239,00","DRUIDE MYSTICAL VODKA 0,7L",Propaganda24
10/01/2021,"39,00","FINLANDIA VODKA OF FINLAND 0,5L",Propaganda24
date,price,product,store_name
10/01/2021,6.90 zł ,"1906 40% 0,1l",Hurtownia alkoholi
10/01/2021,13.00 zł ,"1906 40% 0,2l",Hurtownia alkoholi
10/01/2021,21.00 zł ,"1906 40% 0,5l",Hurtownia alkoholi
10/01/2021,32.00 zł ,"1906 40% 0,7l",Hurtownia alkoholi
10/01/2021,250.00 zł ,3 Kilos Coconut Gold 37.5%  1l,Hurtownia alkoholi
10/01/2021,287.00 zł ,3 Kilos Gold 40% 1l,Hurtownia alkoholi
10/01/2021,270.00 zł ,3 Kilos Silver 40% 1l,Hurtownia alkoholi
10/01/2021,36.00 zł ,"999 The Nines Spicy Bitter 40% 0,5l  MVP",Hurtownia alkoholi
10/01/2021,34.00 zł ,"Absolut Blue 40% 0,5L",Hurtownia alkoholi
10/01/2021,44.00 zł ,"Absolut Blue 40% 0,7L",Hurtownia alkoholi
10/01/2021,78.00 zł ,Absolut Blue 40% 1L,Hurtownia alkoholi
10/01/2021,155.00 zł ,"Absolut Elyx 42,3% 0,7l",Hurtownia alkoholi
10/01/2021,60.00 zł ,"Absolut Grapefruit  40%  0,7l",Hurtownia alkoholi
10/01/2021,60.00 zł ,"Absolut Kurant 40% 0,7L",Hurtownia alkoholi
10/01/2021,60.00 zł ,"Absolut Lime 40% 0,7l",Hurtownia alkoholi
10/01/2021,93.00 zł ,"Absolut Mango 40%  0,7l",Hurtownia alkoholi
10/01/2021,60.00 zł ,"Absolut Pears 40% 0,7L",Hurtownia alkoholi
10/01/2021,114.00 zł ,"Absolut Vanilia 40% 0,7l",Hurtownia alkoholi
