price,product,store_name
"31,00 ","Żołądkowa De Luxe 0,7l",foczkaalkohole
"42,99 ",Żołądkowa de Luxe 0.1l,foczkaalkohole
"20,89 ",Żołądkowa de Luxe 0.5l,foczkaalkohole
"27,00 ","Żołądkowa Gorzka 0,5l, ",foczkaalkohole
"27,00 ","Żołądkowa Gorzka Czarna Wiśnia 0,5l, ",foczkaalkohole
"22,99 ","Żołądkowa Gorzka Rześka Limonka z Mięta 0,5l, ",foczkaalkohole
"22,99 ","Żołądkowa Gorzka Rześka Pigwa z Miętą 0,5l, ",foczkaalkohole
"27,00 ","Żołądkowa Gorzka z Mięta 0,5l",foczkaalkohole
"24,99 ","Żołądkowa Kolonialna Cayemites Bay z Nutą Brandy 0,5l",foczkaalkohole
"20,49 ","Żubrówka Biała 0,5L",foczkaalkohole
"33,99 ","Żubrówka Biała 0,7l",foczkaalkohole
"44,99 ",Żubrówka Biała 1l,foczkaalkohole
"22,02 ","Żubrówka Bison Grass 37,5% 0,5L, ",foczkaalkohole
"28,98 ","Żubrówka Bison Grass 37,5% 0,7L, ",foczkaalkohole
"29,99 ","Żubrówka Czarna 0,5l",foczkaalkohole
"50,05 ",Żubrówka Czarna 1l,foczkaalkohole
"42,99 ","Żubrówka Czarna Dąb 0,7l",foczkaalkohole
"22,99 ","Żubrówka Leśna Poziomka 0,5l",foczkaalkohole
"21,99 ","Żytniówka 0,5l,",foczkaalkohole
