date,price,product,store_name
06/01/2021,"22,09 ","Lubelska Wiśniowa 0,5l",Foczka Alkohole
06/01/2021,"4,99 ","Lubelska Wiśniówka 100 ml,",Foczka Alkohole
06/01/2021,"22,09 ","Lubelska Żurawinowa 0,5l",Foczka Alkohole
06/01/2021,"23,49 ",Luksusowa 0.5l,Foczka Alkohole
06/01/2021,"25,56 ",Luksusowa 0.7l,Foczka Alkohole
06/01/2021,"19,99 ","Magnat Gruszka z Nutą Aromatycznej Wanilii 0,5l,",Foczka Alkohole
06/01/2021,"47,00 ","Nemiroff de Lux 0,5l",Foczka Alkohole
06/01/2021,"29,99 ","Nemiroff Delikat 0,5l.",Foczka Alkohole
06/01/2021,"29,99 ",Nemiroff Oryginal 0.5l,Foczka Alkohole
06/01/2021,"29,99 ",Nemiroff Wheat 0.5l,Foczka Alkohole
06/01/2021,"25,39 ","Norvegia 0,5l",Foczka Alkohole
06/01/2021,"44,99 ","Norvegia 0,7l",Foczka Alkohole
06/01/2021,"38,99 ","Ogiński 0,7l",Foczka Alkohole
06/01/2021,"39,99 ","Ogiński 0,7l + szklanka",Foczka Alkohole
06/01/2021,"26,79 ",Ogiński 0.5l zapytaj o cenę !,Foczka Alkohole
06/01/2021,"26,79 ",Ogiński Biały 0.5l,Foczka Alkohole
06/01/2021,"32,99 ","Ogiński Organic 0,5l",Foczka Alkohole
06/01/2021,"76,00 ","Orkisz 0,7l",Foczka Alkohole
06/01/2021,"35,29 ","Ostoya 0,5l",Foczka Alkohole
06/01/2021,"53,99 ","Ostoya 0,7l",Foczka Alkohole
06/01/2021,"313,99 ",Ostoya 3l,Foczka Alkohole
06/01/2021,"26,91 ","Palace 0,7l",Foczka Alkohole
06/01/2021,"25,79 ",Palace 0.5l,Foczka Alkohole
06/01/2021,"27,99 ","Palace Ziemniak z Orkiszem 0,5l",Foczka Alkohole
06/01/2021,"27,99 ","Palace Ziemniak z Owsem 0,5l",Foczka Alkohole
06/01/2021,"35,00 ","Pan Tadeusz 0,5l",Foczka Alkohole
06/01/2021,"34,99 ","Pan Tadeusz 0,7l,",Foczka Alkohole
06/01/2021,"23,99 ",Pan Tadeusz 0.5L,Foczka Alkohole
06/01/2021,"95,99 ","Passover Slivovitz 0,7l",Foczka Alkohole
06/01/2021,"26,59 ",Polonia 0.5l.,Foczka Alkohole
06/01/2021,"55,65 ","Polonia Czarna 0,5l",Foczka Alkohole
06/01/2021,"76,29 ","Polonia Czarna 0,7l,",Foczka Alkohole
06/01/2021,"96,99 ",Polonia Czarna 1l,Foczka Alkohole
06/01/2021,"9,99 ",Polonia Czarna 50ml,Foczka Alkohole
06/01/2021,"25,99 ","Pułaski Generał 0,5l.",Foczka Alkohole
06/01/2021,"22,99 ","Rajska Cytrusówka Cytryna z Grejpfrutem 0,5l,",Foczka Alkohole
06/01/2021,"22,99 ","Rajska Cytrysówka Cytryna z Mango 0,5l",Foczka Alkohole
06/01/2021,"22,99 ","Rajska Cytrysówka z Limonki 0,5",Foczka Alkohole
06/01/2021,"46,99 ","Russian Standard 0,5l",Foczka Alkohole
06/01/2021,"49,99 ","Russian Standard 0,7l",Foczka Alkohole
06/01/2021,"84,99 ",Russian Standard 1l,Foczka Alkohole
06/01/2021,"19,99 ","Sadówka Wiśniowa 0,5l",Foczka Alkohole
06/01/2021,"22,99 ",Saska Czarny Bez 0.5l,Foczka Alkohole
06/01/2021,"21,49 ",Saska Czysta 0.5l,Foczka Alkohole
06/01/2021,"22,99 ","Saska Dębowa 0,5l",Foczka Alkohole
06/01/2021,"22,99 ",Saska Dzika Róża 0.5l,Foczka Alkohole
06/01/2021,"22,99 ",Saska Orzech Laskowy z Nutą Karmelu 0.5l,Foczka Alkohole
